what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1384272652516
ws,sysinfo,,,"win32",1384272652516
locale,sysinfo,,,"en_US",1384272652516
processors,sysinfo,,,"2",1384272652516
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1384272652516
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1384272652516
java.specification.name,sysinfo,,,"Java Platform API Specification",1384272652516
java.specification.vendor,sysinfo,,,"Oracle Corporation",1384272652516
java.specification.version,sysinfo,,,"1.7",1384272652516
java.vendor,sysinfo,,,"Oracle Corporation",1384272652516
java.version,sysinfo,,,"1.7.0_40",1384272652516
java.vm.info,sysinfo,,,"mixed mode",1384272652516
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1384272652516
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384272652516
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1384272652516
java.vm.specification.version,sysinfo,,,"1.7",1384272652516
java.vm.vendor,sysinfo,,,"Oracle Corporation",1384272652516
java.vm.version,sysinfo,,,"24.0-b56",1384272652516
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1384272653036
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1384272653176
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1384272653696
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384272655534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384272661182
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1384272661374
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1384272661444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384272666465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384272668715
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384272685679
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1384272699579
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1384272699719
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1384272748325
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1384272748793
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1384272752441
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1384272752491
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1384272752671
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1384272752751
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1384272752811
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1384272752871
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1384272752871
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1384272752951
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1384272753241
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1384272753241
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1384272754191
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1384272754901
error,log,,,"Failed to load properties file for project 'Earsy'",1384272755901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384272756202
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1384272756262
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1384272756592
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1384272760573
